,High,Low,Medium
work,0.00016930022573358183,0.014447655034452112,0.01905156347069792
year,-0.0008182844243792564,0.01918944950729795,0.02340028991509635
wors,0.000874717832957117,0.006816329554715894,0.001449575481466181
stop,-0.00014108352144470704,0.005482699859228002,0.002899150962932251
effect,-0.00022573363431155347,0.005482699859228002,0.008076206253882834
month,8.46501128667354e-05,0.004074979625101949,0.001863739904742201
horribl,0.00031038374717828887,0.003704526931910812,0.00062124663491403
great,-0.0002539503386005393,0.012299029413943896,0.010975357216815085
day,-5.643340857797163e-05,0.0010372675409350274,0.00041416442327602
did,8.46501128667354e-05,0.004074979625101949,0.001035411058190161
worst,0.00014108352144470704,0.007038601170630598,0.001449575481466181
onli,-0.00022573363431155347,0.00837223086611849,0.011389521640091105
week,2.8216704288874794e-05,0.0017781729273171898,0.001449575481466181
didnt,0.0,0.0038527080091872445,0.001449575481466181
start,-0.00014108352144470704,0.0011113580795732991,0.00041416442327602
im,-8.465011286684643e-05,0.0011854486182114599,0.00020708221163801
bleed,0.00011286681715572122,0.002889531006890489,0.00020708221163801
took,-0.00011286681715583224,0.003111802622805082,0.002070822116380211
help,8.46501128667354e-05,0.005779062013780867,0.005384137502588593
pain,-5.643340857797163e-05,0.0013336296954878923,0.00041416442327602
time,0.0,0.0008890864636585949,0.00020708221163801
feel,0.00019751693002256765,0.001407720234126164,0.0
like,-0.00011286681715583224,0.0008890864636585949,0.00020708221163801
caus,-0.00016930022573369286,0.0027413499296140564,0.004141644232760422
life,-0.00019751693002256765,0.006075424168333732,0.008076206253882834
veri,5.643340857786061e-05,0.0011854486182114599,0.0
bad,-0.00011286681715583224,0.001407720234126164,0.001242493269828171
love,0.0,0.005556790397866274,0.003313315386208382
ive,-0.00022573363431155347,0.0019263540045936223,0.0
just,-5.643340857797163e-05,0.0007409053863821624,0.00020708221163801
pill,0.0,0.0012595391568497316,0.0
sever,0.00016930022573358183,-7.409053863816073e-05,0.002070822116380211
gain,-2.8216704288985817e-05,0.0018522634659554615,0.001449575481466181
use,-0.0003103837471783999,0.002889531006890489,0.002692068751294241
terribl,8.46501128667354e-05,0.0024449877750611915,0.001863739904742201
got,2.8216704288874794e-05,0.0010372675409350274,0.00041416442327602
best,-2.8216704288985817e-05,0.005334518781951569,0.003106233174570372
depress,0.0,0.0015559013114025966,0.0
2,-0.00016930022573369286,0.00029636215455286496,0.00020708221163801
period,2.8216704288874794e-05,0.0005927243091057299,0.00020708221163801
extrem,0.0,0.0016299918500407573,0.00020708221163801
3,-0.00011286681715583224,0.0008149959250204342,0.00020708221163801
medic,8.46501128667354e-05,0.0009631770022968666,0.00020708221163801
becaus,-5.643340857797163e-05,0.0008890864636585949,0.0
doctor,0.0,0.0011113580795732991,0.0
good,0.0,0.004519522856931246,0.004348726444398432
medicin,8.46501128667354e-05,0.0022227161591464872,0.002484986539656231
tri,-5.643340857797163e-05,0.0010372675409350274,0.0
better,-0.00019751693002256765,0.0032599837000815146,0.003106233174570372
headach,-0.00011286681715583224,0.0012595391568497316,0.000828328846552151
weight,2.8216704288874794e-05,0.0011113580795732991,0.00020708221163801
constant,2.8216704288874794e-05,0.0029636215455286496,0.0
ani,-2.8216704288985817e-05,0.001704082388679029,0.0
felt,-8.465011286684643e-05,0.0005927243091057299,0.00062124663491403
switch,2.8216704288874794e-05,0.0014818107727643248,0.002484986539656231
dont,0.0,0.00044454323182929745,0.00020708221163801
realli,0.00014108352144470704,0.0008149959250204342,0.000828328846552151
far,0.0,0.004297251241016542,0.002899150962932251
noth,-8.465011286684643e-05,0.001704082388679029,0.00062124663491403
befor,0.0,-0.00029636215455275394,0.0
sinc,-8.465011286684643e-05,0.0021486256205083265,0.000828328846552151
drug,-5.643340857797163e-05,0.0017781729273171898,0.00062124663491403
dizzi,0.00011286681715572122,0.001704082388679029,0.001035411058190161
sleep,0.0,0.00022227161591470423,0.00020708221163801
littl,-0.00019751693002256765,0.0017781729273171898,0.001035411058190161
hope,-0.00011286681715583224,-0.00029636215455275394,0.000828328846552151
make,2.8216704288874794e-05,0.0,0.0
